address,LATITUDE,LONGITUDE
Amoy Street Food Centre,1.279339864,103.8466525
Blks 20/21 Marsiling Lane,1.443444168,103.7769895
Blks 20/21 Marsiling Lane,1.443831652,103.7772104
Geylang Serai Market,1.31672515,103.89797740000002
Blks 2 & 3 Changi Village Road,1.443444168,103.7769895
Blks 2 & 3 Changi Village Road,1.443831652,103.7772104
Blks 2 & 3 Changi Village Road,1.3896492230000002,103.9880996
Blks 2 & 3 Changi Village Road,1.389176868,103.9883278
East Coast Lagoon Food Village,1.306894678,103.9351207
Blk 112 Jalan Bukit Merah,1.28000483,103.8260133
Blk 538 Bedok North Street 3,1.331796755,103.9250822
Blk 208B New Upper Changi Road,1.32478237,103.9305703
Serangoon Garden Market,1.363157215,103.8667375
Taman Jurong Market & Food Centre,1.334682665,103.7216193
Taman Jurong Market & Food Centre,1.334589388,103.7215199
Blk 16 Bedok South Road,1.320500838,103.9354736
Blk 16 Bedok South Road,1.320552219,103.9355392
Blk 75 Toa Payoh Lorong 5,1.33598913,103.8529929
Blks 13/14 Haig Road,1.31514205,103.8956095
Blk 216 Bedok North Street 1,1.327044507,103.933287
Pek Kio Market & Food Centre,1.316159985,103.8502251
Kallang Estate Market,1.307396173,103.8841302
Bedok Food Centre,1.320354084,103.9554719
Newton Food Centre,1.312185867,103.8394125
Blk 353 Clementi Ave 2,1.31437918,103.7709196
Chinatown Market,1.282235211,103.8431776
Blk 6 Tanjong Pagar Plaza,1.276614648,103.843167
Blk 93 Toa Payoh Lorong 4,1.338417345,103.849485
Market Street Food Centre,1.285323793,103.8457767
Market Street Food Centre,1.333307375,103.9306985
Market Street Food Centre,1.301001496,103.8542117
Market Street Food Centre,1.343516257,103.737851
Market Street Food Centre,1.359097267,103.8860623
Market Street Food Centre,1.345786112,103.9445889
Blk 4A Eunos Crescent,1.320340624,103.9043312
Blk 11 Telok Blangah Crescent,1.277366898,103.8186417
Berseh Food Centre,1.307336537,103.856854
Blk 724 Ang Mo Kio Ave 6,1.37219743,103.8465193
Blk 1 Jalan Kukoh,1.288231015,103.8399342
Dunman Food Centre,1.309403498,103.9018502
Blk 448 Clementi Ave 3,1.313060361,103.7645213
Golden Mile Food Centre,1.302875539,103.8638833
Blk 115 Bukit Merah View,1.285504832,103.8220494
Maxwell Food Centre,1.280330244,103.8447335
Alexandra Village Food Centre,1.286297808,103.8044893
Pasir Panjang Food Centre,1.275979339,103.7913433
ABC Brickworks Market & Food Centre,1.28695275,103.808128
Adam Road Food Centre,1.324082714,103.8141821
Blk 320 Shunfu Road,1.352007454,103.8370319
Blk 20 Ghim Moh Road,1.310910184,103.7882414
Hong Lim Market & Food Centre,1.285323793,103.8457767
Tiong Bahru Market,1.285088293,103.8323488
Blk 409 Ang Mo Kio Ave 10,1.36276901,103.8553698
People's Park Food Centre,1.284979431,103.8425677
Albert Centre Market & Food Centre,1.301001496,103.8542117
Blk 89 Circuit Road,1.323445344,103.8854493
Commonwealth Crescent Market,1.306995341,103.8003565
Tanglin Halt Market,1.300558071,103.7977194
Blk 117 Aljunied Ave 2,1.320781077,103.8867735
Blks 79/79A Circuit Road,1.325526744,103.8849265
Blks 79/79A Circuit Road,1.326449969,103.8850436
Beo Crescent Market,1.288840079,103.8274008
Kovan Market & Food Centre,1.359097267,103.8860623
Blk 210 Toa Payoh Lorong 8,1.3402160090000002,103.8548726
Zion Riverside Food Centre,1.292342232,103.8311893
Bukit Timah Market,1.339609749,103.7760889
Blk 505 Jurong West Street 52,1.349642302,103.7184475
Chong Pang Market & Food Centre,1.431860429,103.8282054
Chong Pang Market & Food Centre,1.4315267319999998,103.8284199
Chomp Chomp Food Centre,1.364223804,103.8665695
Blk 726 Clementi West Street 2,1.303782033,103.7642645
Sembawang Hill Food Centre,1.372384979,103.8289942
Holland Village Market & Food Centre,1.311148964,103.7948338
Blk 51 Old Airport Road,1.308109821,103.8857317
Blk 58 New Upper Changi Road,1.324116104,103.9411538
Blk 50A Marine Terrace,1.305775204,103.915762
Tekka Market,1.306177053,103.8506113
North Bridge Road Market & Food Centre,1.306140807,103.8640993
North Bridge Road Market & Food Centre,1.305746976,103.8639544
